age,gender,education,income,bureau_score,util_last_m1,util_last_m2,util_last_m3,util_current,loan_amt,loan_to_income_ratio,active_loans,default
41,female,university,1845,667,0.081,0.417,0.203,0.046,109,0.059,0,0
25,male,university,1337,735,0.343,0.084,0.314,0.466,950,0.711,8,1
38,female,university,1018,545,0.566,0.23,0.085,0.342,1777,1.746,6,0
48,female,high school,501,678,0.505,0.294,0.554,0.22,1750,3.493,8,0
62,female,high school,1499,510,0.08,0.39,0.155,0.107,1830,1.221,0,0
42,female,high school,1319,511,0.196,0.44,0.175,0.53,186,0.141,5,1
41,male,university,1517,640,0.445,0.179,0.106,0.178,1232,0.812,2,1
26,male,high school,900,563,0.312,0.209,0.532,0.183,1838,2.042,3,0
21,female,graduate school,1583,507,0.252,0.072,0.311,0.514,814,0.514,2,1
25,female,graduate school,487,692,0.433,0.301,0.07,0.32,1011,2.076,4,1
61,female,university,353,508,0.322,0.059,0.254,0.194,1921,5.442,1,1
32,female,high school,1793,719,0.239,0.215,0.074,0,519,0.289,1,0
46,female,university,622,629,0.306,0.117,0.41,0.059,1417,2.278,6,0
66,female,graduate school,1049,577,0.737,0.227,0.459,0.708,1947,1.856,3,1
54,female,graduate school,249,640,0.231,0.437,0.379,0.223,731,2.936,3,0
69,female,high school,1430,739,0.51,0.079,0.052,0.132,1665,1.164,7,0
34,male,university,763,501,0.325,0.352,0.388,0.456,453,0.594,10,1
46,male,university,1053,695,0.248,0.123,0.275,0.421,126,0.12,6,0
65,male,university,1082,703,0.159,0.503,0.254,0.253,1375,1.271,1,1
47,female,university,861,675,0.374,0.326,0.259,0.149,1776,2.063,10,0
29,female,university,764,573,0.258,0.281,0.432,0,834,1.092,4,0
46,female,university,412,630,0.282,0.088,0.416,0.671,1958,4.752,2,1
67,male,high school,1289,695,0.332,0.015,0.348,0.387,710,0.551,1,1
42,female,university,1455,633,0.18,0.214,0.013,0.269,1605,1.103,4,1
67,male,university,1010,586,0.123,0.491,0.252,0,867,0.858,2,0
50,female,graduate school,1049,504,0.307,0.201,0.431,0.222,1416,1.35,2,0
63,male,university,1886,741,0.572,0.176,0.295,0.398,705,0.374,7,0
68,male,university,1940,630,0.247,0.155,0.124,0.086,942,0.486,2,0
37,male,university,1543,637,0.495,0.443,0.363,0.25,1288,0.835,6,0
46,female,graduate school,1990,670,0.698,0.132,0.444,0.178,1596,0.802,7,0
56,male,high school,1360,646,0.344,0.352,0.147,0.282,1524,1.121,10,1
21,female,university,1080,513,0.074,0.327,0.165,0.121,1515,1.403,4,0
28,female,university,1870,648,0.339,0.431,0.337,0.284,800,0.428,4,0
69,female,high school,1789,623,0.212,0.393,0.304,0.2,1072,0.599,2,0
55,female,university,1288,542,0.276,0.179,0.318,0.33,1219,0.946,10,0
35,female,high school,1737,527,0.304,0.27,0.414,0.042,414,0.238,6,0
67,male,university,1355,648,0.518,0.481,0.369,0.633,1804,1.331,5,0
42,female,university,533,663,0.198,0.334,0.37,0.071,482,0.904,6,0
34,female,high school,231,523,0.139,0.39,0.046,0.306,1834,7.939,9,1
46,female,university,1067,681,0.039,0.412,0.395,0,204,0.191,3,0
48,female,university,1097,665,0.22,0.384,0.042,0.243,1739,1.585,2,1
43,female,high school,1721,516,0.187,0.15,0.455,0.193,1549,0.9,6,0
34,male,university,1466,649,0.065,0.597,0.242,0.496,157,0.107,10,1
44,male,university,1415,582,0.306,0.186,0.26,0.149,914,0.646,2,0
22,female,university,1365,544,0.171,0.156,0.311,0.315,619,0.453,2,0
65,male,high school,1883,745,0.206,0.331,0.257,0.275,1174,0.623,3,0
46,male,others,800,573,0.233,0.389,0.274,0.139,132,0.165,10,1
34,female,university,1784,688,0.075,0.403,0.61,0.228,1338,0.75,9,0
27,male,university,1871,638,0.154,0.157,0.264,0.158,1081,0.578,0,0
23,female,others,1187,560,0.326,0.461,0.575,0.68,1925,1.622,1,1
67,male,graduate school,1414,537,0.191,0.324,0.381,0.391,909,0.643,2,0
43,male,university,1372,565,0.166,0.073,0.279,0.039,585,0.426,10,0
66,male,high school,798,532,0.058,0.367,0.089,0.18,1286,1.612,5,0
63,female,high school,1639,542,0.025,0.567,0.16,0,1630,0.995,3,0
67,male,high school,719,658,0.036,0.403,0.213,0.082,1773,2.466,8,0
65,male,university,1958,611,0.141,0.724,0.42,0.428,571,0.292,6,0
38,female,graduate school,1068,534,0.27,0.123,0.202,0,937,0.877,4,0
58,female,university,215,536,0.139,0.113,0.452,0.159,829,3.856,9,0
55,male,university,1329,674,0.065,0.367,0.505,0.601,364,0.274,8,1
35,female,university,482,738,0.244,0.243,0.144,0.045,899,1.865,10,0
45,male,high school,1327,599,0.407,0.527,0.3,0.645,1200,0.904,6,1
57,male,graduate school,560,522,0.249,0.195,0.184,0.028,153,0.273,5,0
48,female,high school,1881,663,0.485,0.25,0.083,0,840,0.447,3,0
30,female,university,1258,667,0.133,0.363,0.302,0.375,1774,1.41,4,1
59,female,university,312,730,0.294,0.02,0.169,0,1297,4.157,5,0
37,male,graduate school,507,717,0.297,0.652,0.465,0.492,1945,3.836,0,0
59,female,university,1158,588,0.417,0.168,0.523,0.216,911,0.787,1,0
42,male,graduate school,1276,708,0.647,0.26,0.196,0.646,1128,0.884,1,1
46,female,others,1304,514,0.314,0.203,0.333,0.466,166,0.127,6,1
64,male,high school,1839,664,0.268,0.156,0.192,0.317,1894,1.03,2,0
45,female,university,1033,736,0.346,0.423,0.121,0.32,1212,1.173,3,0
37,male,university,1592,631,0.53,0.52,0.133,0.484,1022,0.642,8,0
33,female,others,441,649,0.199,0.311,0.276,0.503,747,1.694,4,1
40,male,university,230,708,0.19,0.18,0.166,0,814,3.539,2,0
45,female,graduate school,903,521,0.03,0.335,0.233,0,344,0.381,6,0
24,female,university,1068,708,0.459,0.474,0.148,0.383,144,0.135,4,0
30,male,others,1584,705,0.612,0.181,0.172,0.335,833,0.526,6,0
23,female,graduate school,432,577,0.213,0.149,0.329,0.559,1231,2.85,8,1
61,male,university,1833,644,0.415,0.22,0.261,0.448,574,0.313,9,0
65,male,others,1257,571,0.326,0.292,0.648,0.238,169,0.134,0,0
38,female,graduate school,1466,597,0.244,0.473,0.467,0.354,909,0.62,5,1
67,male,graduate school,1150,589,0.604,0.424,0.54,0.549,1445,1.257,8,0
56,female,university,258,608,0.247,0.176,0.319,0,1172,4.543,0,0
67,female,high school,970,593,0.455,0.145,0.402,0.265,1955,2.015,5,0
42,male,university,1752,713,0.24,0.178,0.153,0.048,743,0.424,2,0
54,female,others,1301,579,0.373,0.073,0.172,0.05,1320,1.015,9,0
67,male,university,917,593,0.658,0.375,0.387,0.214,1731,1.888,7,0
28,male,graduate school,501,579,0.151,0.158,0.142,0.1,1325,2.645,9,0
60,female,others,1901,537,0.342,0.225,0.12,0.621,227,0.119,6,1
69,female,university,1002,745,0.213,0.336,0.236,0,1358,1.355,3,0
64,male,university,1096,651,0.471,0.129,0.089,0.072,260,0.237,3,0
39,male,university,311,727,0.284,0.32,0.174,0.481,693,2.228,7,1
62,female,university,1636,726,0.118,0.597,0.141,0.525,817,0.499,5,0
61,female,graduate school,516,633,0.183,0.49,0.078,0,496,0.961,6,0
57,female,graduate school,1368,695,0.204,0.39,0.306,0.217,1878,1.373,4,0
26,female,university,867,709,0.399,0.195,0.148,0.324,1365,1.574,3,0
46,male,high school,889,633,0.311,0.47,0.18,0.388,197,0.222,0,1
54,female,university,1871,525,0.179,0.043,0.231,0.084,511,0.273,6,0
65,male,others,217,600,0.127,0.428,0.524,0.577,68,0.313,3,0
26,male,university,1574,718,0.112,0.189,0.669,0.456,728,0.463,4,0
57,female,university,1378,668,0.284,0.601,0.14,0.248,568,0.412,4,0
53,male,graduate school,1729,574,0.376,0.471,0.297,0.097,332,0.192,10,0
42,female,graduate school,977,537,0.042,0.482,0.28,0.496,165,0.169,1,0
41,male,university,559,707,0.425,0.551,0.371,0.992,1487,2.66,1,1
26,female,high school,531,582,0.346,0.443,0.335,0.268,1662,3.13,8,0
26,male,others,727,670,0.201,0.044,0.382,0.525,658,0.905,5,0
68,male,others,211,680,0.07,0.334,0.363,0.302,1710,8.104,7,1
24,female,university,1298,642,0.441,0.083,0.18,0.285,303,0.233,5,1
50,female,high school,411,717,0.256,0.38,0.109,0.644,1299,3.161,2,1
31,male,university,1914,555,0.324,0.17,0.515,0.666,1877,0.981,2,1
50,male,graduate school,840,604,0.452,0.37,0.427,0.206,1173,1.396,10,0
51,female,high school,482,683,0.174,0.111,0.075,0.171,73,0.151,4,0
44,male,university,1418,530,0.062,0.063,0.162,0.276,113,0.08,2,1
29,female,graduate school,979,710,0.311,0.08,0.422,0.158,1324,1.352,10,0
23,male,university,1253,684,0.195,0.101,0.316,0.38,531,0.424,1,1
51,female,university,1232,678,0.047,0.534,0.062,0,658,0.534,3,0
60,male,high school,1532,651,0.013,0.516,0.29,0.225,1226,0.8,3,0
57,female,university,1668,557,0.44,0.546,0.036,0.659,903,0.541,8,0
56,female,others,1533,572,0.014,0.283,0.257,0.281,1724,1.125,6,1
44,male,graduate school,876,714,0.285,0.146,0.308,0.411,1010,1.153,7,1
51,female,university,904,631,0.268,0.285,0.071,0.239,855,0.946,0,0
26,male,university,625,509,0.411,0.087,0.316,0.225,909,1.454,6,1
22,female,university,1995,690,0.065,0.289,0.243,0.416,1418,0.711,9,1
40,female,university,1927,572,0.287,0.147,0.473,0.682,705,0.366,8,0
48,female,high school,790,710,0.39,0.277,0.174,0.467,480,0.608,8,1
31,male,high school,1914,514,0.645,0.415,0.267,0.386,1978,1.033,4,0
24,female,others,290,742,0.2,0.351,0.337,0.652,1862,6.421,0,1
35,male,high school,655,597,0.22,0.5,0.417,0.536,447,0.682,5,1
26,female,high school,643,733,0.136,0.249,0.176,0,786,1.222,2,0
69,male,university,1950,562,0.329,0.292,0.171,0.29,1606,0.824,6,0
50,male,high school,278,518,0.267,0.094,0.148,0.199,731,2.629,7,0
58,male,university,1698,612,0.163,0.362,0.409,0.397,838,0.494,5,0
22,female,university,1126,562,0.541,0.176,0.247,0.071,1395,1.239,1,0
35,male,university,302,615,0.411,0.518,0.008,0.23,452,1.497,9,0
31,female,university,822,683,0.202,0.126,0.54,0.319,1861,2.264,10,0
28,male,university,1679,520,0.136,0.173,0.515,0.133,1076,0.641,9,1
46,male,others,1189,661,0.15,0.381,0.137,0.162,1748,1.47,8,0
65,male,university,1537,742,0.477,0.541,0.51,0.83,388,0.252,6,1
64,male,graduate school,1470,644,0.145,0.256,0.155,0.068,960,0.653,8,0
25,female,university,433,645,0.362,0.269,0.402,0.465,707,1.633,1,0
26,male,graduate school,1817,580,0.485,0.122,0.177,0.402,1991,1.096,5,1
46,male,graduate school,843,565,0.539,0.095,0.231,0.147,874,1.037,8,0
24,female,university,1458,678,0.279,0.196,0.175,0.125,1806,1.239,7,0
39,male,university,989,564,0.262,0.163,0.098,0.249,364,0.368,9,0
40,male,university,586,542,0.099,0.353,0.268,0.355,876,1.495,4,0
53,male,high school,1046,556,0.387,0.419,0.112,0.142,1346,1.287,9,0
40,male,high school,1834,637,0.533,0.213,0.1,0.465,1852,1.01,10,0
69,female,university,237,536,0.148,0.144,0.359,0.398,1971,8.316,1,1
32,female,university,1384,675,0.458,0.377,0.431,0.455,1979,1.43,6,0
67,male,university,1685,619,0.355,0.186,0.138,0.123,160,0.095,7,0
21,female,high school,1672,568,0.095,0.536,0.135,0.404,263,0.157,7,1
46,female,graduate school,1340,555,0.095,0.019,0.196,0.076,1090,0.813,10,0
34,male,graduate school,440,618,0.293,0.118,0.319,0.344,1163,2.643,1,1
58,female,high school,1249,703,0.166,0.078,0.18,0.466,1376,1.102,3,1
57,male,university,1871,663,0.295,0.267,0.484,0.451,1311,0.701,7,1
31,female,graduate school,761,658,0.355,0.053,0.354,0.131,680,0.894,3,0
56,female,university,1005,554,0.49,0.612,0.319,0.186,1780,1.771,9,0
33,female,others,497,537,0.631,0.631,0.197,0.536,727,1.463,6,0
63,male,high school,1004,742,0.13,0.198,0.266,0.26,1124,1.12,3,0
23,female,high school,353,700,0.031,0.137,0.479,0,1965,5.567,8,0
53,male,university,931,735,0.161,0.159,0.188,0,1863,2.001,8,0
26,male,university,1875,717,0.404,0.253,0.531,0.386,261,0.139,10,0
30,female,others,667,514,0.141,0.377,0.272,0.121,1946,2.918,3,0
25,male,others,248,643,0.192,0.056,0.309,0.487,1556,6.274,2,1
43,female,university,1877,576,0.229,0.085,0.244,0.06,1585,0.844,3,0
30,male,high school,245,716,0.016,0.194,0.137,0,108,0.441,8,0
64,male,graduate school,1898,721,0.243,0.08,0.04,0.119,1280,0.674,6,0
22,female,university,1508,552,0.073,0.213,0.153,0.044,407,0.27,3,0
33,female,university,979,683,0.157,0.027,0.402,0.018,571,0.583,8,0
60,female,university,1851,506,0.221,0.417,0.796,0.611,338,0.183,8,0
22,female,others,281,684,0.185,0.3,0.141,0.348,776,2.762,0,1
40,male,graduate school,1267,554,0.077,0.276,0.405,0.397,1450,1.144,8,0
21,male,university,1929,551,0.463,0.284,0.034,0.401,1335,0.692,7,1
57,male,others,1993,503,0.183,0.189,0.192,0.551,208,0.104,2,1
29,female,others,1154,542,0.558,0.407,0.378,0.184,1099,0.952,7,0
37,male,graduate school,472,539,0.389,0.204,0.362,0.238,1470,3.114,3,0
29,female,university,593,729,0.158,0.282,0.251,0.127,1985,3.347,1,0
31,male,university,989,620,0.396,0.178,0.247,0.305,1877,1.898,5,1
35,female,graduate school,794,529,0.148,0.411,0.1,0,1806,2.275,1,0
44,male,others,257,637,0.638,0.31,0.187,0.422,776,3.019,6,1
58,male,others,764,721,0.289,0.415,0.155,0.25,1621,2.122,0,0
55,female,graduate school,200,602,0.047,0.362,0.675,0.498,94,0.47,3,1
50,male,graduate school,415,506,0.295,0.29,0.354,0.761,74,0.178,7,1
51,female,graduate school,1540,663,0.544,0.274,0.31,0.384,417,0.271,6,1
69,male,others,1451,662,0.11,0.174,0.134,0.077,1481,1.021,6,0
25,male,graduate school,1696,715,0.241,0.349,0.305,0.289,268,0.158,6,1
64,female,university,1707,666,0.15,0.142,0.267,0.201,1042,0.61,9,0
34,female,university,965,663,0.413,0.698,0.328,0.484,1988,2.06,10,0
31,male,university,870,608,0.583,0.334,0.422,0.444,1522,1.749,10,1
29,male,graduate school,1510,519,0.2,0.211,0.21,0.308,462,0.306,6,1
54,male,university,710,548,0.17,0.406,0.188,0.44,1166,1.642,10,0
32,male,others,1801,595,0.258,0.07,0.159,0.144,350,0.194,6,0
55,male,others,1114,558,0.277,0.358,0.25,0.305,1775,1.593,6,0
55,male,high school,1681,730,0.179,0.283,0.205,0.381,348,0.207,4,1
21,female,graduate school,294,676,0.363,0.406,0.208,0.494,1602,5.449,6,0
60,female,university,692,589,0.162,0.327,0.811,0.627,1688,2.439,4,1
42,female,university,964,525,0.154,0.367,0.335,0.669,1064,1.104,6,1
49,male,university,1221,535,0.226,0.253,0.329,0.76,1551,1.27,3,1
28,male,others,349,670,0.041,0.471,0.272,0.787,1610,4.613,7,1
31,male,university,1246,625,0.475,0.108,0.115,0.223,1682,1.35,6,0
61,female,graduate school,955,726,0.219,0.068,0.063,0.23,1875,1.963,5,0
57,female,others,1438,542,0.518,0.251,0.317,0.339,730,0.508,5,0
34,male,others,598,598,0.062,0.25,0.154,0.094,191,0.319,4,0
50,male,graduate school,609,703,0.27,0.612,0.204,0.549,1953,3.207,1,0
55,female,university,330,532,0.039,0.171,0.463,0.161,301,0.912,5,0
41,female,university,1054,599,0.284,0.272,0.368,0.471,1386,1.315,7,1
57,female,university,347,705,0.087,0.232,0.373,0.163,1995,5.749,1,0
25,male,graduate school,580,596,0.106,0.368,0.356,0.03,1603,2.764,5,0
39,male,university,1332,737,0.266,0.455,0.46,0.351,965,0.724,1,1
34,male,others,751,672,0.214,0.375,0.198,0.416,248,0.33,7,1
46,female,university,1344,544,0.097,0.116,0.273,0.068,847,0.63,3,0
24,female,graduate school,494,587,0.144,0.359,0.299,0.341,1058,2.142,9,0
45,male,university,1343,642,0.285,0.465,0.721,0.272,1230,0.916,7,0
65,male,university,655,594,0.171,0.367,0.241,0.073,926,1.414,5,0
62,female,high school,1753,516,0.176,0.151,0.185,0.395,1139,0.65,7,1
45,male,university,368,639,0.371,0.168,0.094,0.089,189,0.514,9,0
38,female,graduate school,909,521,0.644,0.214,0.319,0.59,1990,2.189,9,1
60,female,graduate school,1366,650,0.328,0.501,0.404,0.344,1531,1.121,8,0
28,male,high school,236,589,0.361,0.057,0.098,0.136,1619,6.86,6,0
59,female,university,1921,577,0.3,0.131,0.288,0.425,1111,0.578,0,1
60,male,high school,1484,639,0.137,0.39,0.141,0.71,658,0.443,0,1
34,female,university,430,613,0.184,0.231,0.268,0.146,119,0.277,10,0
52,female,university,453,567,0.147,0.074,0.188,0.549,749,1.653,0,1
58,male,university,528,609,0.354,0.218,0.415,0.293,1926,3.648,1,1
53,female,others,1520,678,0.278,0.234,0.25,0.227,1450,0.954,10,0
43,male,others,1179,624,0.27,0.064,0.509,0.925,1769,1.5,10,0
35,male,university,209,640,0.437,0.17,0.298,0.289,748,3.579,10,0
53,female,university,645,556,0.136,0.108,0.116,0.118,1001,1.552,2,0
45,male,graduate school,1121,554,0.345,0.103,0.745,0.55,1165,1.039,5,0
37,male,university,1035,581,0.202,0.108,0.225,0.216,875,0.845,8,0
53,male,university,1453,606,0.628,0.263,0.125,0.458,378,0.26,7,0
67,male,others,1759,655,0.188,0.228,0.262,0.169,262,0.149,2,0
22,male,others,277,601,0.538,0.23,0.221,0.311,411,1.484,10,0
34,male,university,1648,732,0.21,0.281,0.484,0.363,1915,1.162,1,0
60,female,university,392,671,0.187,0.15,0.394,0.135,360,0.918,6,0
60,male,high school,600,646,0.199,0.254,0.223,0.577,1870,3.117,8,1
59,female,high school,308,673,0.12,0.128,0.314,0.18,769,2.497,7,0
26,female,graduate school,991,610,0.477,0.646,0.493,0.678,1441,1.454,4,0
26,male,university,462,606,0.192,0.384,0.316,0.515,900,1.948,1,0
23,female,university,528,601,0.503,0.186,0.428,0.476,935,1.771,4,1
27,female,university,562,737,0.077,0.53,0.183,0.029,337,0.6,5,1
28,male,graduate school,1601,502,0.73,0.608,0.221,0.728,1853,1.157,6,0
62,male,graduate school,1564,710,0.373,0.278,0.351,0.404,1737,1.111,8,0
35,male,university,458,647,0.177,0.219,0.358,0.301,165,0.36,5,0
67,female,university,1558,524,0.217,0.026,0.286,0,1499,0.962,4,0
49,female,graduate school,284,574,0.332,0.657,0.44,0.599,1778,6.261,6,1
53,male,university,1745,683,0.383,0.305,0.444,0.157,736,0.422,2,0
50,male,high school,1794,708,0.165,0.133,0.313,0,676,0.377,8,0
59,female,high school,507,560,0.182,0.398,0.335,0.321,988,1.949,4,0
47,female,university,461,622,0.48,0.209,0.311,0.408,347,0.753,10,0
56,female,university,996,740,0.233,0.593,0.09,0.164,167,0.168,8,0
49,female,others,830,554,0.123,0.313,0.138,0.099,786,0.947,2,1
58,male,university,879,662,0.241,0.504,0.22,0.548,735,0.836,7,0
53,female,university,1064,705,0.138,0.224,0.282,0.455,807,0.758,6,0
57,female,university,1924,686,0.165,0.08,0.369,0.3,1854,0.964,3,1
47,female,graduate school,1675,538,0.193,0.15,0.172,0.363,1575,0.94,9,1
53,female,university,1474,684,0.641,0.386,0.206,0.597,1358,0.921,5,0
24,male,others,523,582,0.142,0.508,0.417,0.137,435,0.832,3,0
42,male,university,1124,694,0.294,0.169,0.37,0.313,1575,1.401,2,0
22,female,university,1452,533,0.165,0.283,0.828,0.399,1712,1.179,5,0
30,female,others,1925,749,0.417,0.406,0.164,0.389,1770,0.919,6,0
25,male,graduate school,1859,612,0.066,0.32,0.184,0,241,0.13,7,0
30,male,university,1819,668,0.107,0.341,0.123,0.224,857,0.471,1,1
53,female,university,1520,649,0.335,0.215,0.419,0.467,956,0.629,7,1
58,female,university,926,729,0.294,0.176,0.133,0.072,356,0.384,0,0
33,male,graduate school,1460,747,0.166,0.394,0.201,0.306,228,0.156,9,1
51,male,university,1177,526,0.297,0.213,0.119,0.475,1581,1.343,7,0
67,male,university,1848,648,0.465,0.411,0.576,0.189,252,0.136,7,0
56,male,university,416,668,0.168,0.323,0.148,0.146,1040,2.5,0,0
65,male,university,1469,530,0.221,0.122,0.7,0.344,1974,1.344,0,0
44,male,university,647,654,0.361,0.101,0.427,0,1762,2.723,6,0
35,female,graduate school,518,664,0.404,0.158,0.178,0.331,244,0.471,5,1
49,male,university,1193,693,0.383,0.333,0.047,0.084,743,0.623,3,0
28,male,graduate school,1655,681,0.288,0.317,0.476,0.012,131,0.079,1,0
25,male,others,1627,738,0.703,0.6,0.637,0.662,1167,0.717,8,0
49,male,university,236,636,0.396,0.348,0.278,0.879,1827,7.742,1,1
67,female,university,1799,582,0.155,0.257,0.45,0.077,454,0.252,10,0
24,female,high school,930,669,0.187,0.215,0.36,0.4,892,0.959,3,0
32,male,university,1565,663,0.342,0.712,0.24,0.359,1022,0.653,2,1
65,female,university,1210,509,0.546,0.038,0.202,0.527,1830,1.512,1,0
22,female,high school,1612,686,0.08,0.18,0.32,0.19,1150,0.713,6,0
47,female,high school,1257,539,0.17,0.169,0.208,0,621,0.494,4,0
51,female,university,238,553,0.14,0.431,0.301,0.624,628,2.639,9,1
56,female,graduate school,1802,736,0.276,0.323,0.434,0.381,1217,0.675,8,0
56,female,university,408,666,0.544,0.209,0.178,0.189,587,1.439,3,0
46,male,high school,1029,634,0.387,0.486,0.336,0.601,1589,1.544,1,0
63,male,graduate school,1055,503,0.184,0.137,0.235,0.242,918,0.87,5,0
47,male,university,1375,642,0.538,0.06,0.548,0.415,139,0.101,0,0
25,male,high school,1098,703,0.317,0.13,0.553,0,407,0.371,1,0
40,male,graduate school,1588,675,0.337,0.051,0.197,0,1472,0.927,6,0
31,female,high school,1422,505,0.301,0.121,0.152,0.256,454,0.319,10,1
30,male,university,800,572,0.321,0.07,0.13,0.068,237,0.296,6,0
60,male,university,959,662,0.269,0.467,0.254,0.577,1882,1.962,4,1
58,female,graduate school,1302,699,0.192,0.656,0.218,0.053,1022,0.785,5,0
26,female,high school,1700,698,0.36,0.095,0.127,0.092,1406,0.827,3,1
28,male,university,633,695,0.178,0.199,0.463,0.288,1495,2.362,1,0
43,female,university,1041,557,0.349,0.193,0.527,0.371,1131,1.086,6,0
67,female,university,231,576,0.47,0.252,0.383,0.542,67,0.29,10,1
46,female,high school,1310,518,0.074,0.459,0.166,0.461,1377,1.051,9,1
66,female,others,1774,561,0.295,0.069,0.127,0.142,1393,0.785,4,0
63,male,university,592,570,0.194,0.371,0.279,0.195,1281,2.164,8,0
32,female,university,1836,637,0.516,0.258,0.062,0.157,1830,0.997,6,1
46,male,others,1467,524,0.379,0.307,0.266,0.54,1889,1.288,1,1
33,male,university,1455,671,0.074,0.196,0.145,0.298,892,0.613,0,0
60,female,university,1109,749,0.21,0.25,0.177,0.015,907,0.818,2,0
38,female,graduate school,1803,726,0.509,0.352,0.183,0.329,922,0.511,10,1
45,female,high school,391,626,0.199,0.138,0.138,0.164,1650,4.22,7,0
53,male,university,1763,557,0.71,0.637,0.463,0.597,273,0.155,5,0
67,female,university,469,652,0.585,0.181,0.591,0.635,798,1.701,1,0
60,female,university,937,720,0.455,0.419,0.066,0.25,811,0.866,6,0
63,female,graduate school,276,619,0.212,0.158,0.194,0.394,1010,3.659,7,1
32,female,university,934,703,0.377,0.521,0.188,0.181,1893,2.027,3,0
64,female,graduate school,1083,742,0.272,0.283,0.515,0.297,1505,1.39,7,1
56,male,university,1390,610,0.344,0.229,0.26,0.199,696,0.501,9,0
68,female,university,483,667,0.185,0.037,0.473,0.193,1263,2.615,3,0
24,female,university,1927,575,0.307,0.214,0.532,0.554,1471,0.763,2,1
25,female,high school,1312,743,0.608,0.317,0.242,0.587,1178,0.898,7,1
57,male,high school,743,569,0.34,0.143,0.347,0.504,1731,2.33,1,1
28,female,high school,848,637,0.183,0.044,0.333,0,702,0.828,3,1
62,male,graduate school,1379,565,0.384,0.558,0.25,0.235,1546,1.121,6,0
69,male,graduate school,449,619,0.663,0.123,0.307,0.144,1022,2.276,0,0
48,female,university,294,736,0.329,0.289,0.35,0.446,1429,4.861,1,1
51,female,others,216,652,0.173,0.105,0.041,0.264,1583,7.329,4,0
29,female,high school,316,698,0.163,0.385,0.275,0.199,706,2.234,8,0
49,male,high school,1182,731,0.155,0.194,0.183,0.231,680,0.575,0,1
34,male,university,532,586,0.275,0.348,0.124,0.168,1762,3.312,2,0
60,male,university,1745,739,0.374,0.165,0.276,0.121,1026,0.588,5,0
61,male,university,1303,638,0.042,0.397,0.159,0.209,1723,1.322,6,0
42,male,graduate school,845,621,0.22,0.311,0.289,0.082,1153,1.364,5,0
31,male,graduate school,1655,663,0.493,0.199,0.175,0,287,0.173,6,0
43,female,others,1426,548,0.507,0.181,0.333,0.426,787,0.552,7,0
21,female,university,315,547,0.183,0.385,0.589,0.211,1864,5.917,9,0
66,male,university,1162,614,0.448,0.183,0.063,0.194,704,0.606,10,0
57,female,graduate school,1443,586,0.445,0.262,0.779,0.264,1144,0.793,5,1
41,female,others,1476,734,0.238,0.106,0.158,0.343,724,0.491,0,0
46,male,university,1392,506,0.152,0.361,0.423,0.453,1027,0.738,3,1
66,male,university,1046,718,0.142,0.169,0.101,0.282,896,0.857,0,1
56,female,others,515,576,0.114,0.507,0.661,0.154,747,1.45,4,0
43,male,university,1940,678,0.059,0.401,0.098,0.595,988,0.509,7,1
21,male,university,1009,644,0.554,0.254,0.66,0.543,1481,1.468,1,1
60,female,graduate school,571,659,0.277,0.272,0.514,0.439,1112,1.947,4,1
35,male,graduate school,959,653,0.535,0.299,0.503,0.152,108,0.113,5,0
41,female,high school,1076,620,0.666,0.451,0.215,0.466,1018,0.946,2,0
67,female,high school,1176,623,0.504,0.119,0.336,0.317,762,0.648,1,0
29,female,university,1806,649,0.117,0.159,0.215,0,82,0.045,3,0
29,female,university,355,640,0.705,0.445,0.186,0.313,851,2.397,9,0
30,female,university,813,624,0.508,0.518,0.339,0.766,1608,1.978,9,1
46,male,graduate school,1236,511,0.337,0.244,0.067,0.074,1129,0.913,9,0
61,male,university,707,570,0.566,0.409,0.098,0.326,1374,1.943,7,0
55,male,university,664,500,0.198,0.448,0.356,0.216,807,1.215,1,1
45,male,university,982,660,0.418,0.23,0.079,0.342,145,0.148,2,0
46,female,high school,1003,743,0.433,0.462,0.285,0.567,1478,1.474,1,1
31,female,university,419,618,0.136,0.105,0.481,0.412,497,1.186,0,0
58,male,graduate school,214,641,0.4,0.297,0.275,0.337,1287,6.014,0,0
22,female,university,1973,610,0.246,0.112,0.116,0.384,1459,0.739,9,1
27,male,high school,316,563,0.221,0.287,0.373,0.125,1245,3.94,2,0
38,male,university,530,542,0.557,0.764,0.334,0.511,1338,2.525,0,1
47,male,graduate school,255,747,0.227,0.079,0.211,0.114,1035,4.059,7,0
54,female,university,1574,685,0.402,0.629,0.149,0.63,901,0.572,0,0
47,female,high school,1355,540,0.075,0.585,0.269,0,1242,0.917,2,0
37,female,university,1449,708,0.21,0.214,0.658,0.062,896,0.618,9,0
63,female,high school,507,695,0.238,0.494,0.319,0.045,1308,2.58,8,0
64,male,others,1698,743,0.141,0.29,0.283,0.213,729,0.429,2,0
44,female,high school,421,614,0.348,0.021,0.41,0.199,1131,2.686,8,0
45,female,university,1396,538,0.198,0.221,0.288,0,1301,0.932,0,0
27,female,university,1563,500,0.119,0.569,0.292,0.477,1542,0.987,5,0
26,male,graduate school,996,540,0.072,0.174,0.372,0.372,1664,1.671,6,1
44,male,others,1729,672,0.395,0.196,0.26,0.31,1451,0.839,3,0
53,female,university,1380,587,0.033,0.407,0.382,0.005,200,0.145,10,0
